REQUESTS
NUMBER
 150

VEHICLES
NUMBER    CAPACITY
  34         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            67           70          141          146           6
    2            48          106          112           42           2
    3            31           79          144           59          15
    4            17          166          109          197           1
    5            38          101          158           20          15
    6            83           81          116          118          17
    7            32          166          168          119           3
    8            55          100          155           17           3
    9             1           54          153           19          20
   10            32          190          196          126           9
   11            42          165          146          166          15
   12            78          118          125           34           8
   13            32           47          197           29           8
   14             8            8          141          132          15
   15            78          169          155           22          20
   16            40          115          131          136          12
   17            10           60          131           92          15
   18            23          176          114          112           8
   19            36          104          123           59           5
   20            19           38          168          146          14
   21            88          143          151           66          18
   22            62           15          105           26          14
   23            63          141          101          127          16
   24            42           72          112           78           3
   25            85           85          171           36          14
   26            41           73          184          110          12
   27            78          136          137           59          15
   28            59           83          127           39          19
   29            84          180          111           98          17
   30            76           93          137           10           3
   31            71          131          172          161           1
   32            85          164          111          129          17
   33            26           45          165          156          14
   34            11          118          119          113          18
   35            55           51          130           55           4
   36            90            4          186            8          20
   37            53          180          146            3           3
   38            98           77          136          111           4
   39            46            5          107          133           3
   40            68          156          186          149           5
   41            69          133          161          158           1
   42            32           23          115           75           9
   43            95           50          152          122           6
   44             6          120          182            9          16
   45            35          160          179          151           7
   46            89          176          113          100          11
   47            89          153          175           60          17
   48            88           15          143          116          17
   49            69           64          174          185           5
   50            46          131          161            3           8
   51             1          149          111          189           8
   52             5          162          172           55          15
   53            68           40          157          196          15
   54            45           55          188          194           6
   55            57          157          144           92          10
   56            39          151          189           83          19
   57            37          177          113           14          12
   58            74           55          138           69           5
   59            82           48          178          127           6
   60            50           31          157          142           3
   61            53          175          173          147          16
   62            49           71          159          196           7
   63            18           35          159          187           8
   64            23          168          137           41          17
   65            16          141          182           89           1
   66            65           42          151          180          17
   67            51          162          149          103          14
   68            58           19          186           65           2
   69            70           28          114          153           4
   70            41           16          142           27          18
   71            30          183          155          107          19
   72            62           38          152          190          10
   73            75          173          152           68          18
   74            70           37          176          134          18
   75            25           48          112            6           9
   76            41           43          149          176           7
   77            67          127          154           59          16
   78            97            9          173           42          10
   79            39          186          182          110           7
   80            59          139          122           58          16
   81            56           90          150           26          15
   82            46           22          135          171          19
   83            76          102          107           96          14
   84            47          118          108          187           3
   85            51          112          137          158          15
   86            56          148          125           53          19
   87            78           72          181           70          16
   88            73           81          191          138          13
   89            88          152          174          194          18
   90            83          112          101           29          20
   91            40           95          176          132          14
   92            35            9          139          158          20
   93            80          167          109           85          15
   94            40          130          118          139          10
   95            26           41          136           90           8
   96            44           10          193           12          13
   97            81          183          145           71           2
   98            97          129          118          117          18
   99            20          113          198           16          13
  100            10           20          198           97           7
  101            70          130          104          176          11
  102            60          153          121           48          18
  103            71          145          129          176           3
  104            42          174          136           12           3
  105            84          188          124          191          12
  106            49           99          176           58           4
  107            53           79          100           53          19
  108            28           77          145           19           3
  109            15          197          126          100           4
  110            68          191          104           88          20
  111            22           61          108          141           9
  112            57          118          103           97          20
  113            19           51          135          110          13
  114            98          193          125          180          14
  115            26          197          179           95          20
  116            86          150          134          157          12
  117            20           72          148           38           5
  118            13          139          138           31          18
  119            66           98          135           45           2
  120            45           95          112          174          16
  121            20           59          178           61          19
  122             5          122          162          162           1
  123            55           87          125           49           7
  124            60           71          123           90           9
  125            65           77          103           77          18
  126            63          149          197            7           8
  127            86           69          104            5          17
  128            85          193          114           72          12
  129            86          110          154           29           2
  130            42          144          181          156          12
  131            66            3          158          132          14
  132            94          119          118           45          11
  133            66          196          178           88          18
  134            56           19          110          184           6
  135            12          113          113          151          17
  136            77          119          114          122           3
  137            69          150          138           61          10
  138            92          178          147          193          20
  139            89           39          195          132           1
  140            37          146          138           72          19
  141            24          197          159          129           3
  142            12          131          130          149          11
  143             8           89          116           52          10
  144            12           15          124          165          20
  145            60          184          151          132          19
  146            30           67          154          184           8
  147            64          156          151          179          16
  148            59           24          103           25           7
  149            64          123          110            8          13
  150            68          115          100          144           5

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

