REQUESTS
NUMBER
  25

VEHICLES
NUMBER    CAPACITY
   5         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            97          129          118          117           7
    2            32           23          115           75          10
    3            56           90          150           26           1
    4            25           48          112            6           7
    5            22           61          108          141           4
    6            20           59          178           61           1
    7            81          183          145           71           2
    8            85           85          171           36          12
    9            47          118          108          187           3
   10            48          106          112           42           2
   11            88           15          143          116          19
   12            58           19          186           65           4
   13            63          149          197            7          11
   14             6          193          126          199           2
   15            71          131          172          161          12
   16            27           97          200          162          14
   17            70          130          104          176           8
   18            35            9          139          158          10
   19            51          112          137          158           7
   20            86           69          104            5          17
   21            60          153          121           48           4
   22            28          127          199          123          18
   23            78          169          155           22          12
   24            25          165          191          124           8
   25            23           74          148          196           7

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

