REQUESTS
NUMBER
  75

VEHICLES
NUMBER    CAPACITY
  16         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            63          151          108          148          15
    2            55          100          155           17           5
    3            70           37          176          134          11
    4            67          127          154           59           6
    5            57          157          144           92          14
    6            84          180          111           98           4
    7            63          192          122           38          17
    8            97          129          118          117           7
    9            17           32          104          142          18
   10            62          152          113          105          14
   11             5          130          181           39           3
   12            24          197          159          129           9
   13            58           19          186           65           4
   14            46            5          107          133           1
   15             9          122          168           58          17
   16            25           48          112            6           7
   17            67           70          141          146          14
   18            42          144          181          156           1
   19            84          188          124          191          19
   20            19           51          135          110           3
   21            94          119          118           45          13
   22            71          131          172          161          12
   23            19           38          168          146          17
   24            85          193          114           72           4
   25            50          135          109           45          14
   26            66            3          158          132           7
   27            26           45          165          156          20
   28            88          143          151           66          12
   29            74          163          158           81          14
   30            97          192          143          179           5
   31            41          186          116            4          12
   32            35          160          179          151           1
   33            83           81          116          118          12
   34            49           71          159          196          17
   35            75          170          154            7           8
   36            45           55          188          194           1
   37            78          169          155           22          12
   38            48           94          180           66          18
   39            76           93          137           10           4
   40            30           67          154          184           2
   41            86          150          134          157           8
   42            18           35          159          187          20
   43            32           23          115           75          10
   44            23           74          148          196           7
   45            69          133          161          158          15
   46            63          141          101          127           5
   47            41           43          149          176          17
   48            88           15          143          116          19
   49            75          134          127          143           4
   50            80          190          114          183           3
   51            48          106          112           42           2
   52            12           15          124          165          11
   53            38          101          158           20           2
   54            35            9          139          158          10
   55            27           97          200          162          14
   56            24          131          184          140          16
   57            78          136          137           59          13
   58            31           63          177          134          13
   59            23          176          114          112           1
   60            42           72          112           78          11
   61            46           22          135          171          16
   62            53          175          173          147          17
   63            74           67          106           41           5
   64             7          119          113          158          14
   65            32          166          168          119           3
   66            37          177          113           14           8
   67            15          197          126          100          17
   68            60          153          121           48           4
   69            28          187          142           60           8
   70            86          110          154           29           9
   71            46           40          184          101          14
   72            20           72          148           38          15
   73            49           99          176           58          14
   74            98           77          136          111          15
   75            39          186          182          110           8

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

